area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,4.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.25,长茄子,新疆,none,2018-05-08,蔬菜,元/斤
西北,4.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.25,长茄子,新疆,none,2018-05-06,蔬菜,元/斤
西北,4.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.25,长茄子,新疆,none,2018-05-03,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-08-18,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-08-15,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-08-11,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-08-08,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-08-07,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-08-05,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-08-03,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-08-02,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-08-01,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-07-31,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-07-15,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-07-14,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-07-01,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-06-23,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-06-10,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-06-03,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-05-29,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-05-25,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-05-24,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-05-23,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-05-22,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-05-20,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-05-16,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-05-12,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,黄豆芽,新疆,none,2018-05-08,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-08-18,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-08-15,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-08-13,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-08-11,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-08-08,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-08-07,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-08-05,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-08-03,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-08-02,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-08-01,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-07-31,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-07-15,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-07-14,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-07-01,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-06-23,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-06-10,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-06-03,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-05-29,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-05-25,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-05-24,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-05-23,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-05-22,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-05-20,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-05-16,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.50,绿豆芽,新疆,none,2018-05-12,蔬菜,元/斤
西北,2.12,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.50,1.75,茼蒿,新疆,none,2018-08-18,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-08-15,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-08-13,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-08-11,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-08-09,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-08-08,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-08-07,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-08-05,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-08-03,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-08-02,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-08-01,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-07-31,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-07-15,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-07-14,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-07-01,蔬菜,元/斤
西北,2.12,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.50,1.75,茼蒿,新疆,none,2018-06-23,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-06-10,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-06-03,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-05-31,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-05-29,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-05-25,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-05-24,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-05-23,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-05-22,蔬菜,元/斤
西北,1.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,2.00,1.25,茼蒿,新疆,none,2018-05-20,蔬菜,元/斤
西北,3.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,4.00,3.00,西兰花,新疆,none,2018-08-18,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-08-15,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-08-11,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-08-08,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-08-07,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-08-05,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-08-03,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-08-02,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-08-01,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-07-31,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-07-15,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-07-14,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-07-01,蔬菜,元/斤
西北,3.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,4.00,3.00,西兰花,新疆,none,2018-06-23,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-06-10,蔬菜,元/斤
西北,4.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,5.00,4.00,西兰花,新疆,none,2018-06-03,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,西兰花,新疆,none,2018-05-29,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,西兰花,新疆,none,2018-05-25,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,西兰花,新疆,none,2018-05-24,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,西兰花,新疆,none,2018-05-23,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,西兰花,新疆,none,2018-05-20,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,西兰花,新疆,none,2018-05-16,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,西兰花,新疆,none,2018-05-12,蔬菜,元/斤
西北,6.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,7.00,6.00,西兰花,新疆,none,2018-05-08,蔬菜,元/斤
西北,6.50,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,7.00,6.00,西兰花,新疆,none,2018-05-06,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-18,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-15,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-13,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-11,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-09,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-08,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-07,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-05,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-03,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-02,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-08-01,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-07-31,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-07-15,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-07-14,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-07-01,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-06-23,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-06-10,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-06-03,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-05-29,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-05-25,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-05-24,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-05-23,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-05-22,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-05-20,蔬菜,元/斤
西北,6.00,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,6.50,5.50,山药,新疆,none,2018-05-16,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-08-18,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-08-15,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-08-11,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-08-08,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-08-07,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-08-05,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-08-03,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-08-02,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-08-01,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-07-31,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-07-15,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-07-14,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆兵团农二师库尔勒市孔雀农副产品市场,3.00,2.25,南瓜,新疆,none,2018-06-23,蔬菜,元/斤
