area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit 
华东,24.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,精猪肉,山东,none,2017-12-25,副食品,元/公斤
华东,21.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,白条肉,山东,none,2017-12-25,副食品,元/公斤
华东,60.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,牛肉,山东,none,2017-12-25,副食品,元/公斤
华东,70.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2017-12-25,副食品,元/公斤
华东,24.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2017-12-25,副食品,元/公斤
华东,28.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2017-12-25,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪后肘,山东,none,2017-12-25,副食品,元/公斤
华东,27.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,五花肉,山东,none,2017-12-25,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪前肘,山东,none,2017-12-25,副食品,元/公斤
华东,52.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2017-12-25,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡大腿,山东,none,2017-12-25,副食品,元/公斤
华东,36.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2017-12-25,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2017-12-25,副食品,元/公斤
华东,22.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡胗,山东,none,2017-12-25,副食品,元/公斤
华东,7.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡脖,山东,none,2017-12-25,副食品,元/公斤
华东,24.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,精猪肉,山东,none,2017-12-24,副食品,元/公斤
华东,21.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,白条肉,山东,none,2017-12-24,副食品,元/公斤
华东,60.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,牛肉,山东,none,2017-12-24,副食品,元/公斤
华东,70.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2017-12-24,副食品,元/公斤
华东,24.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2017-12-24,副食品,元/公斤
华东,28.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2017-12-24,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪后肘,山东,none,2017-12-24,副食品,元/公斤
华东,27.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,五花肉,山东,none,2017-12-24,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪前肘,山东,none,2017-12-24,副食品,元/公斤
华东,52.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2017-12-24,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡大腿,山东,none,2017-12-24,副食品,元/公斤
华东,36.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2017-12-24,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2017-12-24,副食品,元/公斤
华东,22.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡胗,山东,none,2017-12-24,副食品,元/公斤
华东,7.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡脖,山东,none,2017-12-24,副食品,元/公斤
华东,24.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,精猪肉,山东,none,2017-12-24,副食品,元/公斤
华东,21.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,白条肉,山东,none,2017-12-24,副食品,元/公斤
华东,60.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,牛肉,山东,none,2017-12-24,副食品,元/公斤
华东,70.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2017-12-24,副食品,元/公斤
华东,24.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2017-12-24,副食品,元/公斤
华东,28.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2017-12-24,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪后肘,山东,none,2017-12-24,副食品,元/公斤
华东,27.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,五花肉,山东,none,2017-12-24,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪前肘,山东,none,2017-12-24,副食品,元/公斤
华东,52.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2017-12-24,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡大腿,山东,none,2017-12-24,副食品,元/公斤
华东,36.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2017-12-24,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2017-12-24,副食品,元/公斤
华东,22.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡胗,山东,none,2017-12-24,副食品,元/公斤
华东,7.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡脖,山东,none,2017-12-24,副食品,元/公斤
华东,24.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,精猪肉,山东,none,2017-12-24,副食品,元/公斤
华东,21.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,白条肉,山东,none,2017-12-24,副食品,元/公斤
华东,60.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,牛肉,山东,none,2017-12-24,副食品,元/公斤
华东,70.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2017-12-24,副食品,元/公斤
华东,24.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2017-12-24,副食品,元/公斤
华东,28.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2017-12-24,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪后肘,山东,none,2017-12-24,副食品,元/公斤
华东,27.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,五花肉,山东,none,2017-12-24,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪前肘,山东,none,2017-12-24,副食品,元/公斤
华东,52.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2017-12-24,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡大腿,山东,none,2017-12-24,副食品,元/公斤
华东,36.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2017-12-24,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2017-12-24,副食品,元/公斤
华东,22.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡胗,山东,none,2017-12-24,副食品,元/公斤
华东,7.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡脖,山东,none,2017-12-24,副食品,元/公斤
华东,24.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,精猪肉,山东,none,2017-12-24,副食品,元/公斤
华东,21.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,白条肉,山东,none,2017-12-24,副食品,元/公斤
华东,60.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,牛肉,山东,none,2017-12-24,副食品,元/公斤
华东,70.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2017-12-24,副食品,元/公斤
华东,24.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2017-12-24,副食品,元/公斤
华东,28.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2017-12-24,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪后肘,山东,none,2017-12-24,副食品,元/公斤
华东,27.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,五花肉,山东,none,2017-12-24,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪前肘,山东,none,2017-12-24,副食品,元/公斤
华东,52.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2017-12-24,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡大腿,山东,none,2017-12-24,副食品,元/公斤
华东,36.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2017-12-24,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2017-12-24,副食品,元/公斤
华东,22.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡胗,山东,none,2017-12-24,副食品,元/公斤
华东,7.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡脖,山东,none,2017-12-24,副食品,元/公斤
华东,24.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,精猪肉,山东,none,2017-12-23,副食品,元/公斤
华东,21.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,白条肉,山东,none,2017-12-23,副食品,元/公斤
华东,60.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,牛肉,山东,none,2017-12-23,副食品,元/公斤
华东,70.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2017-12-23,副食品,元/公斤
华东,24.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2017-12-23,副食品,元/公斤
华东,28.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2017-12-23,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪后肘,山东,none,2017-12-23,副食品,元/公斤
华东,27.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,五花肉,山东,none,2017-12-23,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪前肘,山东,none,2017-12-23,副食品,元/公斤
华东,52.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2017-12-23,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡大腿,山东,none,2017-12-23,副食品,元/公斤
华东,36.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2017-12-23,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2017-12-23,副食品,元/公斤
华东,22.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡胗,山东,none,2017-12-23,副食品,元/公斤
华东,7.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡脖,山东,none,2017-12-23,副食品,元/公斤
华东,24.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,精猪肉,山东,none,2017-12-22,副食品,元/公斤
华东,21.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,白条肉,山东,none,2017-12-22,副食品,元/公斤
华东,60.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,牛肉,山东,none,2017-12-22,副食品,元/公斤
华东,70.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2017-12-22,副食品,元/公斤
华东,24.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2017-12-22,副食品,元/公斤
华东,28.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2017-12-22,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪后肘,山东,none,2017-12-22,副食品,元/公斤
华东,27.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,五花肉,山东,none,2017-12-22,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪前肘,山东,none,2017-12-22,副食品,元/公斤
华东,52.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2017-12-22,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡大腿,山东,none,2017-12-22,副食品,元/公斤
华东,36.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2017-12-22,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2017-12-22,副食品,元/公斤
华东,22.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡胗,山东,none,2017-12-22,副食品,元/公斤
华东,7.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡脖,山东,none,2017-12-22,副食品,元/公斤
华东,24.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,精猪肉,山东,none,2017-12-21,副食品,元/公斤
华东,21.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,白条肉,山东,none,2017-12-21,副食品,元/公斤
华东,60.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,牛肉,山东,none,2017-12-21,副食品,元/公斤
华东,70.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2017-12-21,副食品,元/公斤
华东,24.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2017-12-21,副食品,元/公斤
华东,28.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2017-12-21,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪后肘,山东,none,2017-12-21,副食品,元/公斤
华东,27.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,五花肉,山东,none,2017-12-21,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪前肘,山东,none,2017-12-21,副食品,元/公斤
华东,52.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2017-12-21,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡大腿,山东,none,2017-12-21,副食品,元/公斤
华东,36.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2017-12-21,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2017-12-21,副食品,元/公斤
华东,22.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡胗,山东,none,2017-12-21,副食品,元/公斤
华东,7.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡脖,山东,none,2017-12-21,副食品,元/公斤
华东,21.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,白条肉,山东,none,2017-12-20,副食品,元/公斤
华东,60.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,牛肉,山东,none,2017-12-20,副食品,元/公斤
华东,70.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2017-12-20,副食品,元/公斤
华东,24.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2017-12-20,副食品,元/公斤
华东,28.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2017-12-20,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪后肘,山东,none,2017-12-20,副食品,元/公斤
华东,27.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,五花肉,山东,none,2017-12-20,副食品,元/公斤
华东,23.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪前肘,山东,none,2017-12-20,副食品,元/公斤
华东,52.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2017-12-20,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡大腿,山东,none,2017-12-20,副食品,元/公斤
华东,36.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2017-12-20,副食品,元/公斤
华东,14.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2017-12-20,副食品,元/公斤
华东,22.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡胗,山东,none,2017-12-20,副食品,元/公斤
华东,7.00,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡脖,山东,none,2017-12-20,副食品,元/公斤
华东,24.60,none,2018-08-23,青岛市城阳蔬菜水产品批发市场,0.00,0.00,精猪肉,山东,none,2017-12-20,副食品,元/公斤
